PM2.5,PM10,PM1.0,DATE,ID
4,4,4,2020-11-04 21:01:07,2
7,8,5,2020-11-04 21:01:38,2
7,8,5,2020-11-04 21:02:08,2
6,8,3,2020-11-04 21:02:39,2
5,7,3,2020-11-04 21:03:09,2
7,8,2,2020-11-04 21:03:39,2
7,7,2,2020-11-04 21:04:10,2
3,3,3,2020-11-04 21:04:41,2
4,5,4,2020-11-04 21:05:11,2
3,5,3,2020-11-04 21:05:41,2
10,12,3,2020-11-04 21:06:11,2
11,12,3,2020-11-04 21:06:42,2
14,14,4,2020-11-04 21:07:12,2
8,9,6,2020-11-04 21:07:42,2
12,13,5,2020-11-04 21:08:12,2
